                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3262,                  1.227,                 1.5788,                0.76572,                0.69629,                0.76766,                0.45097,                 1.4073,                 1.1485,                 1.6105,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3052,                 1.2055,                 1.5515,                0.74812,                0.74818,                0.78207,                0.47432,                 1.3677,                 1.1115,                 1.5755,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.307,                 1.2315,                 1.5686,                0.74522,                0.66692,                0.75167,                0.47298,                 1.3687,                 1.1397,                 1.5682,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2931,                 1.2281,                 1.5544,                0.72725,                0.71111,                 0.7984,                0.48255,                 1.3476,                 1.0877,                  1.574,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2879,                 1.1901,                 1.5562,                0.79994,                0.72556,                0.79378,                0.47308,                 1.3437,                 1.1089,                  1.562,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2914,                 1.2026,                 1.5491,                0.80394,                0.72476,                0.80656,                0.49435,                 1.3301,                 1.0359,                 1.5496,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2785,                 1.1785,                 1.5517,                0.80259,                0.68853,                0.79259,                0.48236,                 1.3399,                 1.0611,                 1.5458,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2742,                  1.192,                 1.5593,                0.77348,                0.75343,                0.80971,                0.50222,                 1.3159,                 1.0134,                 1.5324,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2691,                 1.1851,                 1.5344,                0.75816,                0.71892,                0.77997,                0.47208,                 1.3147,                  1.106,                 1.5461,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2838,                  1.213,                 1.5459,                0.79123,                0.71423,                0.79116,                0.48208,                 1.3327,                 1.1109,                 1.5556,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2519,                 1.1582,                 1.5231,                0.77513,                0.74151,                0.80356,                0.49032,                 1.3237,                 1.0728,                 1.5246,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2531,                 1.1563,                 1.5233,                0.74127,                0.76591,                0.79878,                0.48836,                 1.3203,                 1.1013,                  1.558,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2439,                  1.108,                 1.5251,                0.74502,                 0.6415,                0.74518,                0.43657,                 1.3722,                 1.1509,                 1.6023,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2602,                 1.1324,                  1.535,                0.79358,                0.72234,                0.80126,                  0.494,                 1.3183,                 1.0542,                 1.5338,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2635,                 1.1529,                 1.5411,                0.79135,                0.71137,                0.80195,                0.49439,                 1.3282,                 1.0262,                 1.5351,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2338,                 1.1399,                 1.5216,                0.72806,                0.76319,                0.80454,                0.49384,                 1.3045,                 1.0495,                 1.5289,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2451,                 1.1063,                  1.531,                0.80823,                0.75703,                0.81916,                0.50343,                 1.3315,                 1.0103,                 1.5455,             0.00084184,             0.00084184,             0.00084184
